代码,名称,流通A股(万股),总股本(万股)
sz002736,国信证券,219505.962,820000
sz002737,葵花药业,12615.8524,29200
sz002738,中矿资源,10277.8,19243
sz002739,万达电影,42284.8323,117429.4974
sz002740,爱迪尔,15865.32,33058.6904
sz002741,光华科技,15379.5,36000
sz002742,三圣股份,7388.1747,21600
sz002743,富煌钢构,11468,34111.088
sz002745,木林森,16232.7718,52832.7918
sz002746,仙坛股份,5935,18184.0201
sz002747,埃斯顿,18000,83697.7005
sz002748,世龙实业,8161.0197,24000
sz002749,国光股份,1875,7500
sz002750,龙津药业,22500,40050
sz002752,昇兴股份,16360.1397,83318.0519
sz002753,永东股份,8707.5,22207.5
sz002755,东方新星,3514,10134
sz002756,永兴特钢,17329.5,36000
sz002757,南兴装备,4040.1,10934
sz002758,华通医药,15487.5,21000
sz002759,天际股份,9600,45217.9983
sz002760,凤形股份,4676.5865,8800
sz002761,多喜爱,5898.207,12000
sz002762,金发拉比,7348.25,20230
sz002763,汇洁股份,6470,21600
sz002765,蓝黛传动,15969.2,42889.6
sz002766,索菱股份,8814.2001,21087.7007
sz002767,先锋电子,3750,15000
sz002768,国恩股份,8700,24000
sz002769,普路通,25740.1763,37670.377
sz002770,科迪乳业,54960.16,109486.7797
sz002771,真视通,10570.508,16160.02
sz002772,众兴菌业,16820.3387,37333.0707
sz002773,康弘药业,6840,67495.406
sz002774,快意电梯,8370,33480
sz002775,文科园林,12212,24800
sz002776,柏堡龙,7466,24045.8204
sz002777,久远银海,2402,8000
sz002778,高科石化,5553.75,8910.95
sz002779,中坚科技,4488,13200
sz002780,三夫户外,7219.5694,10121.3292
sz002781,奇信股份,9244.35,22500
sz002782,可立克,10650,42600
sz002783,凯龙股份,10700.5,20867.5
sz002785,万里石,9778.8771,20000
sz002786,银宝山新,13824,38124
sz002787,华源控股,10535.8586,28812
sz002788,鹭燕医药,7401.88,12816.88
sz002789,建艺集团,4077.6,8120
sz002790,瑞尔特,4000,16000
sz002791,坚朗五金,8038.5,32154
sz002792,通宇通讯,7124.316,22579
sz002793,东音股份,6508.38,20000
sz002795,永和智控,6375,20000
sz002796,世嘉科技,2991.5,8000
sz002797,第一创业,191844.9014,350240
sz002798,帝王洁具,3228.367,8637.7358
sz002799,环球印务,7687.5,15000
sz002800,天顺股份,3787,7468
sz002801,微光股份,2944,11834.5
sz002802,洪汇新材,3996,10800
sz002803,吉宏股份,2900,11600
